Municipality	Yes	No	Total
Matzikama 	6,260.8	12,574.0	18,834.8
Cederberg 	4,083.9	9,429.6	13,513.4
Bergrivier 	6,394.7	9,880.0	16,274.6
Saldanha Bay 	12,417.7	16,415.3	28,833.0
Swartland 	11,910.0	17,414.0	29,324.0
Witzenberg 	7,710.6	19,708.3	27,418.8
Drakenstein 	25,995.4	33,777.3	59,772.8
Stellenbosch 	18,966.7	24,451.8	43,418.5
Breede Valley 	14,272.6	28,254.8	42,527.4
Langeberg 	9,315.3	15,806.1	25,121.4
Swellendam 	3,943.2	6,196.0	10,139.2
Theewaterskloof 	9,811.0	19,072.8	28,883.8
Overstrand 	14,118.4	13,890.7	28,009.1
Cape Agulhas 	4,848.9	5,313.2	10,162.1
Kannaland 	2,063.0	4,146.8	6,209.9
Hessequa 	7,393.1	8,479.6	15,872.6
Mossel Bay 	13,516.2	14,506.8	28,023.0
George 	23,090.2	30,458.5	53,548.7
Oudtshoorn 	7,933.3	13,977.0	21,910.3
Bitou 	5,308.3	11,337.0	16,645.3
Knysna 	8,677.6	13,215.9	21,893.5
Laingsburg 	811.8	1,596.3	2,408.0
Prince Albert 	1,001.2	2,577.2	3,578.3
Beaufort West 	3,745.8	9,342.5	13,088.2
City of Cape Town 	488,972.4	579,541.2	1,068,513.6
Buffalo City 	62,759.5	160,796.2	223,555.6
Camdeboo 	3,298.4	9,100.0	12,398.4
Blue Crane Route 	2,147.2	7,613.4	9,760.6
Ikwezi 	550.3	2,363.0	2,913.3
Makana 	5,957.6	15,430.3	21,387.9
Ndlambe 	5,446.1	13,883.5	19,329.6
Sundays River Valley 	2,626.2	12,122.5	14,748.7
Baviaans 	1,119.3	3,490.8	4,610.1
Kouga 	10,601.6	18,845.4	29,447.0
Kou-Kamma 	2,602.2	8,429.9	11,032.1
Mbhashe 	4,861.9	55,262.6	60,124.5
Mnquma 	7,574.3	62,156.2	69,730.5
Great Kei 	1,787.1	8,521.3	10,308.4
Amahlathi 	4,012.8	30,146.4	34,159.2
Ngqushwa 	2,642.2	18,741.8	21,384.0
Nkonkobe 	4,714.5	30,639.3	35,353.8
Nxuba 	1,213.7	5,497.3	6,710.9
Inxuba Yethemba 	4,891.4	13,571.9	18,463.2
Tsolwana 	1,487.5	8,006.6	9,494.1
Inkwanca 	1,000.2	5,227.1	6,227.2
Lukanji 	11,311.1	39,861.8	51,172.9
Intsika Yethu 	3,849.6	36,597.9	40,447.5
Emalahleni-EC 	3,346.3	28,335.0	31,681.3
Engcobo 	4,207.3	33,006.4	37,213.7
Sakhisizwe 	2,573.5	13,577.2	16,150.7
Elundini 	3,428.4	34,425.6	37,854.1
Senqu 	4,339.0	33,706.9	38,045.9
Maletswai 	2,814.4	9,289.2	12,103.6
Gariep 	2,106.0	7,664.3	9,770.3
Ngquza Hill 	4,580.0	51,632.0	56,212.0
Port St Johns 	2,267.2	29,445.9	31,713.1
Nyandeni 	5,318.7	56,328.8	61,647.4
Mhlontlo 	4,869.1	38,545.1	43,414.2
King Sabata Dalindyebo 	17,117.9	88,122.3	105,240.3
Matatiele 	4,662.2	44,864.4	49,526.6
