month	longitude	latitude	location	lsoa_code
2022-01-01	-2.4646	53.7655	Hazelwood Close	E01012607
2022-01-01	-2.4747	53.7702	Peridot Close	E01012608
2022-01-01	-2.4747	53.7702	Peridot Close	E01012608
2022-01-01	-2.4762	53.7684	Jasper Street	E01012608
2022-01-01	-2.4668	53.7641	Lilac Road	E01012608
2022-01-01	-2.4668	53.7641	Lilac Road	E01012608
2022-01-01	-2.4747	53.7702	Peridot Close	E01012608
2022-01-01	-2.4785	53.7706	Ruby Street	E01012633
2022-01-01	-2.4796	53.7677	Pemberton Street	E01012634
2022-01-01	-2.4793	53.7652	Cranshaw Drive	E01012634
2022-01-01	-2.4797	53.7659	Thornwood Close	E01012634
2022-01-01	-2.4776	53.7768	Petrol Station	E01012636
2022-01-01	-2.4775	53.7748	Church Walk	E01012636
2022-01-01	-2.4697	53.78	Warrenside Close	E01012636
2022-01-01	-2.4967	53.7642	Knighton Avenue	E01012581
2022-01-01	-2.5127	53.7628	Charnwood Close	E01012582
2022-01-01	-2.5098	53.7578	Beardwood Meadow	E01012582
2022-01-01	-2.504	53.766	Whinney Lane	E01012583
2022-01-01	-2.5049	53.7522	St Silas'S Road	E01012588
2022-01-01	-2.5085	53.7527	Dinckley Square	E01012588
2022-01-01	-2.5037	53.7516	Woodfold Place	E01012588
2022-01-01	-2.5028	53.7524	Leamington Road	E01012588
2022-01-01	-2.4724	53.7527	Thirlmere Close	E01012574
2022-01-01	-2.4682	53.756	Florence Place	E01012574
2022-01-01	-2.47	53.7574	Ash Street	E01012578
2022-01-01	-2.4725	53.7587	Spindle Close	E01012578
2022-01-01	-2.4711	53.7584	Whalley New Road	E01012578
2022-01-01	-2.4679	53.7604	Warmden Gardens	E01012605
2022-01-01	-2.47	53.7618	Cherry Gardens	E01012605
2022-01-01	-2.4639	53.7613	Welbeck Avenue	E01012605
2022-01-01	-2.4679	53.7604	Warmden Gardens	E01012605
2022-01-01	-2.4663	53.761	Coniston Road	E01012605
2022-01-01	-2.4679	53.7604	Warmden Gardens	E01012605
2022-01-01	-2.469	53.7609	Willow Street	E01012605
2022-01-01	-2.4679	53.7604	Warmden Gardens	E01012605
2022-01-01	-2.4663	53.761	Coniston Road	E01012605
2022-01-01	-2.4679	53.7604	Warmden Gardens	E01012605
2022-01-01	-2.4644	53.7614	Lowther Place	E01012605
2022-01-01	-2.455	53.7574	Blakewater Road	E01012606
2022-01-01	-2.455	53.7574	Blakewater Road	E01012606
2022-01-01	-2.4621	53.7565	Glenfield Close	E01012606
2022-01-01	-2.4657	53.7573	Church Hill Road	E01012606
2022-01-01	-2.455	53.7574	Blakewater Road	E01012606
2022-01-01	-2.4672	53.7584	Plane Tree Road	E01012606
2022-01-01	-2.4659	53.7564	Pelham Street	E01012606
2022-01-01	-2.4542	53.7589	Further/Higher Educational Building	E01012606
2022-01-01	-2.4617	53.755	Stanley Street	E01012606
2022-01-01	-2.479	53.7604	St James Road	E01012579
2022-01-01	-2.479	53.7604	St James Road	E01012579
2022-01-01	-2.4797	53.7591	Aberdare Close	E01012579
2022-01-01	-2.4797	53.7591	Aberdare Close	E01012579
2022-01-01	-2.479	53.7604	St James Road	E01012579
2022-01-01	-2.4794	53.7564	Ice Street	E01012580
2022-01-01	-2.4797	53.755	Millham Street	E01012580
2022-01-01	-2.4923	53.7549	Lilford Road	E01012642
2022-01-01	-2.4914	53.7548	Shear Bank Road	E01012642
2022-01-01	-2.4914	53.7548	Shear Bank Road	E01012642
2022-01-01	-2.4889	53.757	Winston Road	E01012645
2022-01-01	-2.4908	53.7552	Shear Bank Close	E01012645
2022-01-01	-2.492	53.7583	Brantfell Road	E01012645
2022-01-01	-2.4908	53.7552	Shear Bank Close	E01012645
2022-01-01	-2.4919	53.7562	Cowan Brae	E01012645
2022-01-01	-2.4908	53.7552	Shear Bank Close	E01012645
