linea,nombre,municipio,sistema,x,y
A,Estación Acevedo (Línea A),Medellín,Metro,-75.55855570719372,6.299942590083669
A,Estación Tricentenario (Línea A),Medellín,Metro,-75.5647167280097,6.2903153411824535
A,Estación Caribe (Línea A),Medellín,Metro,-75.56940485581444,6.27832651707121
A,Estación Universidad (Línea A),Medellín,Metro,-75.56582799611843,6.269432755149477
A,Estación Hospital (Línea A),Medellín,Metro,-75.56333480289574,6.263919524947909
A,Estación Prado (Línea A),Medellín,Metro,-75.56617215507683,6.256850167274485
A,Estación Parque Berrío (Línea A),Medellín,Metro,-75.56823593113583,6.250501603477187
A,Estación San Antonio (Línea A),Medellín,Metro,-75.56970340730587,6.247194543513417
B,Estación Cisneros (Línea B),Medellín,Metro,-75.57515197786327,6.249053571729463
A,Estación Alpujarra (Línea A),Medellín,Metro,-75.571425288161,6.242917110552672
A,Estación Exposiciones (Línea A),Medellín,Metro,-75.57316365310159,6.238419853233182
A,Estación Industriales (Línea A),Medellín,Metro,-75.57561852060103,6.230090590691362
A,Estación Poblado (Línea A),Medellín,Metro,-75.5780956618279,6.212178340361099
A,Estación Aguacatala (Línea A),Medellín,Metro,-75.58180954424914,6.193919630681701
B,Estación Suramericana (Línea B),Medellín,Metro,-75.58294171166298,6.252984046166907
B,Estación Estadio (Línea B),Medellín,Metro,-75.58825637395422,6.2533356292332405
B,Estación Floresta (Línea B),Medellín,Metro,-75.59774369996042,6.258709042400129
B,Estación Santa Lucia (Línea B),Medellín,Metro,-75.6037462489771,6.258088209915199
B,Estación San Javier (Línea B),Medellín,Metro,-75.61366420397434,6.25678093038968
A,Estación Madera (Línea A),Bello,Metro,-75.55532449047294,6.315876874781749
A,Estación Bello (Línea A),Bello,Metro,-75.55363508191871,6.330097699759588
A,Estación Niquía (Línea A),Bello,Metro,-75.5442873990234,6.33782749669792
A,Estación Ayurá (Línea A),Envigado,Metro,-75.58606386212848,6.18616161338868
A,Estación Envigado (Línea A),Itagüí,Metro,-75.59706547012429,6.174686147274544
A,Estación Itaguí (Línea A),Itagüí,Metro,-75.60686324850279,6.16289398638237
A,Estación Sabaneta (Línea A),Sabaneta,Metro,-75.61624238231448,6.157689019325007
A,Estación La Estrella (Línea A),Sabaneta,Metro,-75.62636321912368,6.152784263614692
B,Estación San Antonio (Línea B),Medellín,Metro,-75.5697279007704,6.247202341021603
L,Estación Arví (Línea L),Medellín,Cable,-75.50297173123492,6.28154575110938
K,Estación Santo Domingo (Línea K),Medellín,Cable,-75.54172728221037,6.293159377814147
K,Estación Popular (Línea K),Medellín,Cable,-75.54814136473009,6.2951225961239485
K,Estación Andalucía (Línea K),Medellín,Cable,-75.55189693526872,6.296272054608032
J,Estación Juan XXIII (Línea J),Medellín,Cable,-75.61370257102011,6.265676530490179
J,Estación Vallejuelos (Línea J),Medellín,Cable,-75.61401715654104,6.2753607685534725
J,Estación La Aurora (Línea J),Medellín,Cable,-75.61420337550281,6.281093175171669
M,Estación 13 de Noviembre (Línea M),Medellín,Cable,-75.54139450400831,6.24761517926628
H,Estación Villa Sierra (Línea H),Medellín,Cable,-75.52867947638903,6.234874543639074
M,Estación El Pinal (Línea M),Medellín,Cable,-75.54447595450324,6.245263089476156
H,Estación Las Torres (Línea H),Medellín,Cable,-75.53637211667959,6.236645414095787
L,Estación Santo Domingo (Línea L),Medellín,Cable,-75.5418476304073,6.292722549395813
K,Estación Acevedo (Línea K),Medellín,Cable,-75.55830802100864,6.300272175475473
M,Estación Miraflores (Línea M),Medellín,Cable,-75.54911134581094,6.2417247906119435
H,Estación Oriente (Línea H),Medellín,Cable,-75.53993713658016,6.2333620125356015
J,Estación San Javier (Línea J),Medellín,Cable,-75.61341164173389,6.256720170408026
P,Estación El Progreso (Línea P),Medellín,Cable,-75.58233358724992,6.305999019716445
P,Estación Doce de Octubre (Línea P),Medellín,Cable,-75.57594721416348,6.304248229993065
P,Estación Sena-Pedregal (Línea P),Medellín,Cable,-75.56731889855446,6.301882672148199
P,Estación Acevedo (Línea P),Medellín,Cable,-75.55880797388843,6.299549127950522
