uid,offense_type,date_time,longitude,latitude
24103841,personal robbery,2019-01-01T19:50:00Z,-122.402066,37.788721
24103948,personal robbery,2019-01-02T08:00:00Z,-122.40849300000001,37.784453
24104162,personal robbery,2019-01-03T00:30:00Z,-122.389989,37.75527
24104203,personal robbery,2019-01-03T03:13:00Z,-122.421008,37.783824
24104237,personal robbery,2019-01-03T09:30:00Z,-122.472322,37.721624
24104238,personal robbery,2019-01-03T09:30:00Z,-122.472322,37.721624
24104239,personal robbery,2019-01-03T09:30:00Z,-122.472322,37.721624
24104752,personal robbery,2019-01-05T02:23:00Z,-122.413769,37.774516
24105017,personal robbery,2019-01-06T01:00:00Z,-122.397932,37.787036
24105062,personal robbery,2019-01-06T10:22:00Z,-122.407337,37.78456
24105501,personal robbery,2019-01-08T12:00:00Z,-122.403636,37.775161
24105626,personal robbery,2019-01-08T19:20:00Z,-122.411766,37.804896
24105627,personal robbery,2019-01-08T19:20:00Z,-122.411766,37.804896
24105642,personal robbery,2019-01-08T19:51:00Z,-122.426565,37.802998
24105649,personal robbery,2019-01-08T20:12:00Z,-122.447466,37.79939
24105657,personal robbery,2019-01-08T20:25:00Z,-122.436747,37.786601
24105835,personal robbery,2019-01-09T13:40:00Z,-122.415694,37.782585
24105884,personal robbery,2019-01-09T16:45:00Z,-122.420255,37.780576
24105927,personal robbery,2019-01-09T19:30:00Z,-122.387167,37.731857
24106115,personal robbery,2019-01-10T15:34:00Z,-122.43948,37.783308
24106142,personal robbery,2019-01-10T17:00:00Z,-122.437633,37.782663
24106169,personal robbery,2019-01-10T18:15:00Z,-122.421008,37.783824
24106658,personal robbery,2019-01-12T16:10:00Z,-122.509895,37.771396
24106807,personal robbery,2019-01-13T02:15:00Z,-122.413866,37.781863
24106819,personal robbery,2019-01-13T03:05:00Z,-122.413669,37.748255
24106850,personal robbery,2019-01-13T10:11:00Z,-122.409923,37.777553
24107196,personal robbery,2019-01-14T15:47:00Z,-122.419513,37.763429
24107199,personal robbery,2019-01-14T15:47:00Z,-122.419513,37.763429
24107292,personal robbery,2019-01-14T20:57:00Z,-122.429783,37.785564
24107301,personal robbery,2019-01-14T21:55:00Z,-122.429783,37.785564
24107340,personal robbery,2019-01-15T01:00:00Z,-122.459005,37.711387
24107567,personal robbery,2019-01-15T21:45:00Z,-122.396626,37.722626
24107573,personal robbery,2019-01-15T23:00:00Z,-122.415005,37.795877
24107611,personal robbery,2019-01-16T07:12:00Z,-122.41437,37.713247
24107612,personal robbery,2019-01-16T07:12:00Z,-122.480498,37.750321
24107974,personal robbery,2019-01-17T15:37:00Z,-122.415883,37.783516
24108257,personal robbery,2019-01-18T19:00:00Z,-122.387167,37.731857
24108311,personal robbery,2019-01-18T21:55:00Z,-122.402577,37.717254
24108327,personal robbery,2019-01-18T22:59:00Z,-122.40742,37.764488
24108381,personal robbery,2019-01-19T02:00:00Z,-122.420883,37.799902
24108598,personal robbery,2019-01-19T19:27:00Z,-122.469271,37.708662
24108839,personal robbery,2019-01-20T18:50:00Z,-122.443256,37.715042
24108857,personal robbery,2019-01-20T21:00:00Z,-122.420883,37.799902
24108864,personal robbery,2019-01-20T21:30:00Z,-122.416138,37.780615
